French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
ville,city
chaque,each
arrivé,come
bébé,baby
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
